"group","station","date","day_of_year","day_of_week","month_of_year","precipitation","windspeed","min_temperature","average_temperature","max_temperature","count"
12,"5 Ave & E 87 St",2023-12-06,340,4,12,0,12.53,33,38,42,95
12,"5 Ave & E 87 St",2023-12-07,341,5,12,0,11.86,31,35,39,101
12,"5 Ave & E 87 St",2023-12-08,342,6,12,0,5.82,30,39,48,135
12,"5 Ave & E 87 St",2023-12-09,343,7,12,0,5.82,35,46,55,223
12,"5 Ave & E 87 St",2023-12-10,344,1,12,2.38,15.21,43,51,57,67
12,"5 Ave & E 87 St",2023-12-11,345,2,12,0.59,19.01,36,45,53,86
12,"5 Ave & E 87 St",2023-12-12,346,3,12,0,13.65,33,39,43,105
12,"5 Ave & E 87 St",2023-12-13,347,4,12,0,NA,36,41,46,95
12,"5 Ave & E 87 St",2023-12-14,348,5,12,0,11.63,31,36,47,115
12,"5 Ave & E 87 St",2023-12-15,349,6,12,0,11.63,34,43,56,157
12,"5 Ave & E 87 St",2023-12-16,350,7,12,0,8.5,38,47,55,193
12,"5 Ave & E 87 St",2023-12-17,351,1,12,0.12,14.09,47,49,56,86
12,"5 Ave & E 87 St",2023-12-18,352,2,12,1.47,23.04,42,54,59,65
12,"5 Ave & E 87 St",2023-12-19,353,3,12,0,17,32,41,44,109
12,"5 Ave & E 87 St",2023-12-20,354,4,12,0,12.75,29,35,44,80
12,"5 Ave & E 87 St",2023-12-21,355,5,12,0,13.65,29,37,42,81
12,"5 Ave & E 87 St",2023-12-22,356,6,12,0,4.47,25,31,40,53
12,"5 Ave & E 87 St",2023-12-23,357,7,12,0,5.59,28,35,43,76
12,"5 Ave & E 87 St",2023-12-24,358,1,12,0.02,2.91,40,42,48,98
12,"5 Ave & E 87 St",2023-12-25,359,2,12,0,4.25,39,44,49,114
12,"5 Ave & E 87 St",2023-12-26,360,3,12,0,3.58,39,43,45,116
12,"5 Ave & E 87 St",2023-12-27,361,4,12,0.19,6.71,40,43,49,75
12,"5 Ave & E 87 St",2023-12-28,362,5,12,1.55,10.51,47,50,54,70
12,"5 Ave & E 87 St",2023-12-29,363,6,12,0.02,8.95,45,49,53,140
12,"5 Ave & E 87 St",2023-12-30,364,7,12,0,14.54,38,44,47,121
12,"5 Ave & E 87 St",2023-12-31,365,1,12,0,12.08,38,41,43,98
